,time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,attempt_suicide,employment,job_title,edu_level,improve_yourself_how
0,5/17/2016 20:04:18,Male,Straight,35,38869,White non-Hispanic,Normal weight,Yes,No,No,0.0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Yes,Employed for wages,mechanical drafter,Associate degree,None
1,5/17/2016 20:04:30,Male,Bisexual,21,9308,White non-Hispanic,Underweight,Yes,No,No,0.0,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",No,Out of work and looking for work,-,"Some college, no degree",join clubs/socual clubs/meet ups
2,5/17/2016 20:04:58,Male,Straight,22,0,White non-Hispanic,Overweight,Yes,No,No,10.0,Yes,Yes,I don't want help,No,Out of work but not currently looking for work,unemployed,"Some college, no degree",Other exercise
3,5/17/2016 20:08:01,Male,Straight,19,594,White non-Hispanic,Overweight,Yes,Yes,No,8.0,Yes,Yes,date coaching,No,A student,student,"Some college, no degree",Joined a gym/go to the gym
4,5/17/2016 20:08:04,Male,Straight,23,34354,White non-Hispanic,Overweight,No,No,Yes and I have,10.0,No,Yes,I don't want help,No,Employed for wages,Factory worker,"High school graduate, diploma or the equivalent (for example: GED)",None
5,5/17/2016 20:09:09,Male,Straight,24,74976,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,2.0,Yes,Yes,date coaching,Yes,Employed for wages,game programmer,Bachelor’s degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups"
6,5/17/2016 20:10:56,Male,Straight,22,9665,White non-Hispanic,Underweight,Yes,No,No,2.0,Yes,Yes,"Set me up with a date, date coaching",No,Employed for wages,Janitor,"High school graduate, diploma or the equivalent (for example: GED)",None
7,5/17/2016 20:11:13,Female,Gay/Lesbian,24,25605,White non-Hispanic,Normal weight,Yes,No,No,10.0,Yes,Yes,"wingman/wingwoman, date coaching",Yes,Employed for wages,Fabricator,Trade/technical/vocational training,"Therapy, join clubs/socual clubs/meet ups, None, Volunteering, social activism, traveling"
8,5/17/2016 20:11:52,Male,Straight,20,13307,White non-Hispanic,Overweight,Yes,No,Yes but I haven't,0.0,Yes,Yes,Set me up with a date,No,Employed for wages,cashier,"Some college, no degree","Joined a gym/go to the gym, Therapy"
9,5/17/2016 20:13:37,Male,Straight,33,66048,White non-Hispanic,Overweight,No,No,Yes but I haven't,6.0,Yes,Yes,Set me up with a date,Yes,Employed for wages,Software Engineer ,Master’s degree,Therapy
10,5/17/2016 20:17:40,Female,Straight,32,63122,Hispanic (of any race),Overweight,Yes,No,No,5.0,No,No,date coaching,No,Employed for wages,Nurse,Bachelor’s degree,"Other exercise, join clubs/socual clubs/meet ups"
11,5/17/2016 20:18:37,Male,Straight,25,9712,Asian,Normal weight,Yes,No,No,0.0,Yes,Yes,"wingman/wingwoman, Set me up with a date",Yes,Employed for wages,Freight associate,"Some college, no degree","Joined a gym/go to the gym, Other exercise"
